ID	OpenNeuroID	Age	Gender	Student or not (Yes=1)	1. Major	2. Undergraduate/graduate student	3. Favorite subject before college	4. Leisure time spent on reading (4-point scale ranging from [none of my time reading] to [a lot of my time reading]	5. Reading for school (hr)	6. Reading NOT for school (hr)	"7. Books/materials read at home vs. at school (1-[yes], 2-[no])"	8. Books/materials read at home	9. Reading on eBook devices (5-point scale ranging from [none] to [>5 (hrs)])	9. Reading on computers/laptops (5-point scale ranging from [none] to [>5 (hrs)])	9. Reading on smartphones(5-point scale ranging from [none] to [>5 (hrs)])	10. Time spent texting friends R2	10. Time spent playing games online (5-point scale ranging from [none] to [>5 (hrs)])	10. Time spent watching TV (5-point scale ranging from [none] to [>5 (hrs)])	11. Favorite times to read	12. Where you read	13. Hours per week reading: Need to know information (5-point scale ranging from [<2 (hrs)] to [>15 (hrs)])	13. Hours per week reading: Interest or curiosity (5-point scale ranging from [<2 (hrs)] to [>15 (hrs)])	13. Hours per week reading: Relaxation or ‘escape’ (5-point scale ranging from [<2 (hrs)] to [>15 (hrs)])	13. Hours per week reading: Others (5-point scale ranging from [<2 (hrs)] to [>15 (hrs)])	14. Examples for other purposes of reading	15. Preferred genre	16. Frequency: Sharing what you read (4-point scale ranging from [never or hardly ever] to almost every day])	16. Frequency: Borrowing books from others (4-point scale ranging from [never or hardly ever] to almost every day])	16. Frequency: Borrowing books from libraries (4-point scale ranging from [never or hardly ever] to almost every day])	17. Categories of reading for enjoyment	"18. Reading habits: Like hard, challenging books (4-point Likert scale ranging from [true for me] to [not true for me])"	18. Reading habits: Make pictures in my mind (4-point Likert scale ranging from [true for me] to [not true for me])	18. Reading habits: Don’t like reading difficult (4-point Likert scale ranging from [true for me] to [not true for me])	18. Reading habits: Enjoy different countries (4-point Likert scale ranging from [true for me] to [not true for me])	18. Reading habits: Learn difficult things (4-point Likert scale ranging from [true for me] to [not true for me])	18. Reading habits: Learn interesting topics (4-point Likert scale ranging from [true for me] to [not true for me])	19. I like reading (4-point Likert scale ranging from [very true of me] to [not true of me])	20. Reading is (4-point Likert scale ranging from [very easy for me] to [very hard for me])	A LittleVery Little. Knowledge about Astronomy (Very Much-point Likert scale ranging from [very little] to [very much])	A LittleVery Little. Knowledge about Engineering (Very Much-point Likert scale ranging from [very little] to [very much])	A LittleVery Little. Knowledge about Environment (Very Much-point Likert scale ranging from [very little] to [very much])	A LittleVery Little. Knowledge about Mathematics (Very Much-point Likert scale ranging from [very little] to [very much])	A LittleVery Little. Knowledge about Physics (Very Much-point Likert scale ranging from [very little] to [very much])	A LittleVery Little. Knowledge about Technology (Very Much-point Likert scale ranging from [very little] to [very much])
3011	11	22	M	1	Chemical engineering and Psychology	Undergraduate	Don't know	very little of my time reading	2	1	No	n/a	None	Less than 2 hours	Less than 2 hours	Less than 2 hours	Less than 2 hours	Less than 2 hours	Before falling asleep	In bed	Less than 2 hours	Less than 2 hours	Less than 2 hours	Less than 2 hours	n/a	Movies	never or hardly ever	never or hardly ever	1-2 times a month	Science	Not true for me	Not true for me	True for me	Not true for me	Somewhat true for me	Somewhat untrue for me	Not true for me	kind of easy for me	Very litte	Moderate	A little	Very litte	Very litte	A little
3012	12	29	M	1	Psychology	Graduate	Math	very little of my time reading	1	3	Yes	comic book	None	None	Less than 2 hours	Less than 2 hours	Less than 2 hours	Less than 2 hours	"In the evening,Before falling asleep"	"On the bus,In the bathroom,In bed"	Less than 2 hours	6-10 hours	6-10 hours	Less than 2 hours	n/a	Movies	1-2 times a month	never or hardly ever	never or hardly ever	"Thrillers,Drama,Short stories,History,Fantasy/mysteries,Comics/humor"	Somewhat true for me	Somewhat true for me	Somewhat true for me	Somewhat untrue for me	Not true for me	Somewhat untrue for me	Somewhat untrue for me	kind of hard for me	Very litte	Moderate	A little	Moderate	A little	Moderate
3013	13	21	M	1	Hospitality Management	Undergraduate	Geography	some of my time reading	2	3	No	n/a	Less than 2 hours	Less than 2 hours	Less than 2 hours	Less than 2 hours	3-5 hours	2-3 hours	"During school,In the evening"	"In school,At the library,In the living room or family room,In bed"	Less than 2 hours	3-5 hours	Less than 2 hours	Less than 2 hours	For lifestyle like cooking	Movies	1-2 times a month	never or hardly ever	1-2 times a month	"Short stories,History"	Not true for me	True for me	True for me	True for me	Somewhat true for me	True for me	Somewhat true for me	kind of easy for me	Very litte	Very litte	Moderate	Very litte	Very litte	A lot
3014	14	30	M	1	Engineering	Graduate	Chemical Engineering	very little of my time reading	1	1	No	n/a	Less than 2 hours	Less than 2 hours	Less than 2 hours	Less than 2 hours	None	None	Whenever I can	"In school,At the library,In the living room or family room"	More than 15 hours	6-10 hours	Less than 2 hours	Less than 2 hours	n/a	Books	1-2 times a month	never or hardly ever	1-2 times a month	"Science,Comics/humor, finace"	Not true for me	True for me	True for me	Not true for me	True for me	True for me	True for me	kind of easy for me	Very much	Very much	Very much	Very much	Very much	Very much
3015	15	27	M	1	Petroleum Engineering	Graduate	Physics	very little of my time reading	1	2	Yes	Read news. surf internet.	Less than 2 hours	2-3 hours	2-3 hours	Less than 2 hours	Less than 2 hours	Less than 2 hours	"At lunchtime,In the evening,Before falling asleep"	"In school,At the library,In bed"	3-5 hours	3-5 hours	Less than 2 hours	Less than 2 hours	Research purpose	Movies	1-2 times a month	never or hardly ever	1-2 times a month	"Short stories,History,Science"	Somewhat untrue for me	Somewhat true for me	True for me	Somewhat true for me	Not true for me	Somewhat true for me	True for me	kind of hard for me	Moderate	A lot	Moderate	Moderate	Moderate	Moderate
3016	16	21	M	1	Psychology	Undergraduate	Videography	some of my time reading	2	4	Yes	"Disaster Artists, Flower of Algernon, Lord of the flies"	Less than 2 hours	Less than 2 hours	Less than 2 hours	Less than 2 hours	None	Less than 2 hours	"During school,In the evening,Before falling asleep"	"In school,In front of a computer or TV,In bed"	Less than 2 hours	6-10 hours	6-10 hours	Less than 2 hours	n/a	Movies	1-2 times a week	never or hardly ever	never or hardly ever	"(Auto)biography,Science fiction,Comics/humor"	Somewhat untrue for me	True for me	Somewhat true for me	Somewhat true for me	Somewhat true for me	True for me	True for me	kind of easy for me	Moderate	Very litte	A little	Very litte	A little	Very litte
3017	17	30	M	1	Petroleum Engineering	Graduate	Physics	very little of my time reading	1	1	No	n/a	None	More than 5 hours	None	Less than 2 hours	None	None	After school	"At the library,In a car or truck"	6-10 hours	Less than 2 hours	Less than 2 hours	Less than 2 hours	n/a	Movies	never or hardly ever	never or hardly ever	1-2 times a month	"Short stories,Fantasy/mysteries"	Not true for me	Somewhat true for me	True for me	Somewhat untrue for me	True for me	True for me	Somewhat true for me	kind of easy for me	Very litte	A lot	A lot	Moderate	Moderate	Moderate
3018	18	25	M	1	materials science	Graduate	music	very little of my time reading	10	1	Yes	bibliography	Less than 2 hours	More than 5 hours	Less than 2 hours	Less than 2 hours	Less than 2 hours	None	"In the evening,Before falling asleep"	"In school,In the bathroom,In bed"	More than 15 hours	3-5 hours	Less than 2 hours	n/a	n/a	Movies	almost every day	never or hardly ever	1-2 times a month	"(Auto)biography,History,Science"	Somewhat untrue for me	Somewhat true for me	True for me	Somewhat true for me	True for me	True for me	True for me	kind of hard for me	A little	A little	A little	Moderate	A lot	A lot
3019	19	22	M	1	hospitality management	Undergraduate	math	very little of my time reading	3	1.5	Yes	books in my interest of filed news	Less than 2 hours	2-3 hours	3-5 hours	2-3 hours	None	Less than 2 hours	"After school,Before falling asleep"	"In the bathroom,In bed"	Less than 2 hours	3-5 hours	Less than 2 hours	Less than 2 hours	news	Movies	1-2 times a month	never or hardly ever	never or hardly ever	"Sports,Science,Comics/humor"	Not true for me	True for me	Somewhat true for me	True for me	True for me	True for me	Somewhat untrue for me	kind of easy for me	Very litte	Moderate	Moderate	A little	Very litte	A lot
3020	20	27	F	1	Psychology	Graduate	geography	some of my time reading	3	2	Yes	Brief history of humankind(recently) Hong Lou Meng(my favourite) Zhi Hu(my favourite reading website)	Less than 2 hours	3-5 hours	Less than 2 hours	Less than 2 hours	None	None	"In the morning before school,Before falling asleep"	"In school,At the library,On the bus,In a car or truck,In the living room or family room,In front of a computer or TV,In bed,Anywhere I can"	3-5 hours	3-5 hours	6-10 hours	More than 15 hours	n/a	Plays	1-2 times a week	never or hardly ever	never or hardly ever	"Short stories,History,Romance,Fantasy/mysteries"	Somewhat untrue for me	Somewhat true for me	Somewhat true for me	Somewhat true for me	Somewhat untrue for me	Somewhat true for me	Somewhat true for me	kind of easy for me	A little	Very litte	A little	Moderate	A little	A little
3021	21	28	F	1	Transportation	Graduate	math	some of my time reading	2	3	No	n/a	Less than 2 hours	2-3 hours	3-5 hours	3-5 hours	Less than 2 hours	Less than 2 hours	"In the morning before school,During school,Before falling asleep"	"In school,At the library,In bed"	11-15 hours	Less than 2 hours	3-5 hours	3-5 hours	n/a	Books	almost every day	1-2 times a week	1-2 times a month	"Short stories,History,Romance"	Somewhat untrue for me	Somewhat true for me	Somewhat untrue for me	Somewhat true for me	True for me	Somewhat true for me	Somewhat true for me	kind of easy for me	Moderate	Very much	A little	Very much	A lot	Moderate
3122	22	28	M	1	Biotechnology	Graduate	Biology	some of my time reading	2	2	Yes	Sci-fi Novels	Less than 2 hours	Less than 2 hours	3-5 hours	Less than 2 hours	Less than 2 hours	2-3 hours	"Before falling asleep,Whenever I can"	"In school,At the library,On the bus,In the living room or family room,In the bathroom,In bed,Anywhere I can"	Less than 2 hours	11-15 hours	6-10 hours	Less than 2 hours	n/a	Movies	1-2 times a month	never or hardly ever	1-2 times a month	"Drama,Short stories,Science fiction,Romance"	Somewhat untrue for me	True for me	Somewhat true for me	Somewhat true for me	Somewhat true for me	Somewhat true for me	Somewhat true for me	kind of easy for me	A little	A little	Moderate	Moderate	A little	Moderate
3023	23																																											
3024	24	25	F	1	Geology	Graduate	Biology	very little of my time reading	3	0.5	Yes	"Novel, history books, psychology books"	None	None	Less than 2 hours	Less than 2 hours	None	Less than 2 hours	"In the evening,Before falling asleep"	"In school,In bed"	Less than 2 hours	Less than 2 hours	Less than 2 hours	Less than 2 hours	books that are popular will also attract me	Books	never or hardly ever	never or hardly ever	1-2 times a month	"(Auto)biography,History,Novels"	Not true for me	True for me	Somewhat true for me	Somewhat true for me	Somewhat untrue for me	True for me	Somewhat true for me	kind of easy for me	Moderate	Very litte	Moderate	A little	A little	A little
3025	25	24	F	1	Media Studies	Undergraduate	english	some of my time reading	2	2	Yes	"newspaper, magazine."	Less than 2 hours	2-3 hours	Less than 2 hours	Less than 2 hours	None	None	"During school,After school,Before falling asleep"	"At the library,In front of a computer or TV"	Less than 2 hours	Less than 2 hours	Less than 2 hours	Less than 2 hours	studying	Books	1-2 times a month	never or hardly ever	1-2 times a month	Short stories	Not true for me	Somewhat untrue for me	Somewhat untrue for me	Somewhat true for me	Somewhat true for me	Somewhat true for me	Somewhat true for me	kind of easy for me	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate
3026	26	20	F	1	Psychology	Undergraduate	english	very little of my time reading	1	0	Yes	laying in bed reading novels	Less than 2 hours	None	Less than 2 hours	2-3 hours	2-3 hours	2-3 hours	"In the evening,After school,Before falling asleep"	"At the library,In the living room or family room,In bed"	Less than 2 hours	Less than 2 hours	Less than 2 hours	Less than 2 hours	to make myself concentrate after finishing vacation	Movies	1-2 times a month	never or hardly ever	1-2 times a month	"Drama,Science fiction,Romance,Fantasy/mysteries"	Not true for me	Somewhat true for me	Somewhat true for me	Somewhat true for me	Somewhat true for me	Somewhat true for me	Somewhat true for me	kind of easy for me	Very litte	Very litte	A little	A little	A little	A little
3127	27	23	F	1	"Supply Chain and Information System, Labor and Employment Relations"	Undergraduate	Customer Behavior	a lot of my time reading	2	3	Yes	Different types of novels	None	2-3 hours	2-3 hours	Less than 2 hours	Less than 2 hours	Less than 2 hours	Whenever I can	Anywhere I can	Less than 2 hours	Less than 2 hours	Less than 2 hours	Less than 2 hours	Research paper for essays	Books	1-2 times a month	never or hardly ever	never or hardly ever	"Science fiction,Romance,Fantasy/mysteries"	Not true for me	True for me	True for me	Not true for me	Somewhat true for me	Somewhat untrue for me	True for me	very easy for me	Very litte	Very litte	Very litte	Very litte	Very litte	Moderate
3128	28	20	F	1	Undecided	Undergraduate	math	some of my time reading	2	1	Yes	novels	Less than 2 hours	3-5 hours	More than 5 hours	More than 5 hours	More than 5 hours	3-5 hours	"At lunchtime,In the evening"	"On the bus,In a car or truck,In the bathroom"	Less than 2 hours	3-5 hours	3-5 hours	Less than 2 hours	n/a	Movies	never or hardly ever	never or hardly ever	never or hardly ever	"Short stories,Romance"	Not true for me	Somewhat true for me	True for me	Somewhat true for me	Somewhat true for me	Somewhat true for me	Somewhat untrue for me	kind of easy for me	Very litte	Very litte	A little	Moderate	A little	A little
